Text,Label
pongya media yeun yeun lay whas whas kart sushant singh open and shut open and shut mark mark clear cut murder hyav kuthe lapoon basla ahes,1
ingraji december raatra marathi bhaashik saajra karayla ekach tablevar samorasamor baslet have small suggestion aapan parakiy bhaasha bolaychi nahi vagare vagare randeychya ingraji bhaasha aantarraashtreey,1
maichya navryacha khali vajavli visarla godsechya avladi bhayya,1
ambedkari chaluvaliche teen tera vajavnaraya manasthitichya lokanna ambedkari samajane saheb saheb bolun shubhechha dene khairlanji kharda sonai bansod saglya ghatnanyavar motha mothyaane hasne laja dhara barachyanno,1
ithlya madarchod vyavasthela bhiti vaatte ambedkaranchimhanun chapai band,1
chuk phatlelya condomchi,1
jhala dev karo hoon naye jhalach zhak maarun tumchyakade yeune,1
mamachya mulichi virgin pucci,1
bhajpa neech kapti paksha nem nahi,1
tula chaataychi savay chaatya lavdya,1
madarchod fadnavis,1
bhikari khandekar team laja veshila tangun report tayar aadhi kadh mhava report kuthhe ghalun thevle asatil,1
aryan khan sathi dalali ghetalis kutrya bhikkar patrakar,1
kunach tondat khadankya,1
sagalya haramkhoran badhal bolat madarchod kuthalyaka particha haramkhor rashtrawadit,1
chhatrapati shivaji maharaj vitambana chhoti goshta madarchod,1
rawan chalpati barobar yuddh patkarli majordya karun jadhosarkh maafi nahi magitla kachra jadhos,1
chamya bandya gadhdya nalayka kutrya u know,1
chutyanaand padalkar,1
bhokya nijav ducho bhagat,1
murkhan vishay badaltoy uttar badgya partychi laachari karto jynni aaplya mulibahini musalmanala dilyat,1
daaru pinare evadha chakna zhodtat madarchod,1
khare bhekad hech chivseena,1
tuzha sarkhi akkal nahi maazhi dusrya vakun baghun tech karayach swatahcha naav aadhi zhavadiya duniyadari shikav bapachi izzat thev zhaatu majhya gharachyana karz fedav nahi lagat upatsondya kuthla nasla manus savarabawara,1
pappu rahul gandhi anek varsh launch karun india today kade naveen cartoon,1
kutre fakt patta bandhun bhunktat maalak ghari basun bang detat,1
bhavapurn shraddhanjali kruarkarmyanna ithe bharatat visheshatah rajasthan gujarat mumbaipat madat karanare bhikarachot baaher ithalya tapaas yantrancha durdaiw aankhi,1
joker tushar bhosale balishpane mukhya palkhya suru karanyachi maangni kartoay,1
padalkar binkamache saand danve,1
taklya samajale nahi,1
bjp valyanchaa baap shah rukh tumchi satta navhati tevha paasun rahil twitter gand aapatoon honar nahi yogi kutra olakhat navhata tevha shah rukh khan ddlj chitrpat saglya jagbharat pahila obama yeun naav ghto tumchi laayaki zhaatu lokaano,1
mumbai mahanagarpalikechya niwadnukit bedkank baher marathi asmita marathi maanus vaigare oradat,1
sarkhya haramkhoranna deshatoon haklanyapeksha chaukat ubha karun chabkane phodla pahije,1
yedyabhokachya shivya kashala deto gharat tujhya chhinal mhanun marato zhavanya,1
bullaa barobar lagla,1
tumhi sarkhe pagal tumhi sarv biscuit patrakar nawab chya gharich sadhya mukamala watta,1
bmc electionchya tondavar mumbai gatarichya paanyat ubhi rahun shenicha bhakas karabhar lokanchya nidarshanat aanun detana aadu sahebanch gambhir vishayakade jatina vedhun ghenasathi vahinisahab svatah pahani kartana kshan,1
veglach chutiya veglich chutiya giri,1
maharashtra chya bokandi gujarati god lagtat tumhala bjp taatakhalche majar zhaleat chalat tumhala,1
nathyaz khara mard asahy vyaktiwar chalavlya nasatya nathyacha gandhi jiwar chalavanya palikade itihas sang majhya mate nathya bhadwa haramkhor madarchod,1
dhoka tich loka detat dhokyane paida zhalit,1
layaki fawadyachi bagh khurchi milun upayog nahi gharat ch aadwa padlay,1
amruta tainni svataḥ aayuktanna karun karvaichii maagi kuthalyahi gallitlya bhavi khangresi nagarsevakane takrar laghach karvaai ithe tevdhi tatparta nahi,1
aadhich ukirade huṅge tumhi novembara svataḥchya bapala marun teen teen bap chadhavun ghetle baichii lugdi dhuvat laal chaatat zhaatbhar yuva netyachya gand dhunyet aayushya ghalvnaar bapala sang digrya chulīt ghala svataḥchi buddhi nahi fawadyan bailyan mhanel taṅsa,1
modinche ande rag yenarch chutiya kuthche,1
shena gaddar tatha lacharancha paksh mandali varse phadanvisanchya charani padik varsa italian baiche zhage dhutayet,1
sanjya hijda handga kutla,1
bochya aamhi bangadya ghatlya aamhi hindu,1
narendra modi yanche najayas avalad manleli mulgi murkh nalayak kangna ranawat baicha dekhil janm madhye asava narendra modi kripemulech madhye svatantrya milale mule shariravarche kapde kadhun numaish karun padmashri puraskar ghene yalach khari bhik mhantat,1
gokhale saheb abhyasu ladhvayya manus garal okanyarya sanghotyanna muddesud bhidnara,1
sarv vagire sarv bakwas tumchya svartha sathi ashya rajakarni las mafia milun anatat sarv janetala dekhil kalale chachanya karne band kara laghech sarv osrun tumhi haram khor lok karnaar nahi,1
taklya jaun seemevar xxx ghal ikde nako bolu jawanancha apman karu nakos,1
tuza malak pappu malkin mayno janu oxford madhye shikale,1
zhavadya tujhi bayko kamathipuriyat ubhi rahun tula poshte bagh,1
bhrashtachar ajun benchod ithe account jama karayla akhha ayushyat jate,1
kuthhe neekchi bayko mhane muslim dharmaat striyanchaa sarvat samman kaylyaa jato yanchyapeeksha neech lok nahiye kuthhe,1
ghanta kaka svatahchya khishatun bharpai karanar ayushyabhar landya labadya karun svatahche natewaikanche khise bharun ghetlet best gaadyanchun nuksan bharayla nuksan bharayla tumha amha sarkhi samanya janata ahech,1
mumbaiatil gatarhuge tatdine nagpurla ravana,1
managerchi zaga saatvi fel dhekalya chal nigh ithun,1
uparashtrapati haramkhor hotasach rajkarni ghalya thralas,1
purogamyancha dalindar savay purogami circles madhun alele vichar svatah svatantritya shahanisha karta aplese karne siddha satya thatat aankhi pudhe firavane,1
landya aamhi baghun gheu aadhich ardha ajun kuth ghalto,1
sagle tuzya sarkh pallele nastat baba vasadya,1
zhavnaya aadhi mahiti kadh bol favadya sarkhya zamini svatah sathi vikata nahi ghetlya,1
phadnavis tumhi velevar karvai karta kes band uttar baki humble shabd tumchyasarkhya majoradya vyaktitala shobhat nahi,1
tumhala khup ushir club madhye yaila bhikarchot,1
bhaiya patil bhrastvadicha lal chaatya,1
chinchichi aulad,1
sandas saaf karanare kutrya sarkhya bhukanarya lokankade mumbaikar nahi yenar shivsenach,1
tyanchakara jyanla deshachi bhadkhavu budve kanda mahagala bonblatat matdanala firayala,1
saheb kendratoon fekula maharashtraatoon tarbujyala haklun lava karan jevha feku jhalay tevha deshat maharashtraat sukh samruddhi nahi rahili,1
konahi bakwaas karti tumhi tatparteene gambhir aarop vagire mhantaa neteyahi bakwaas channelhi bakwaas,1
fakt godve gataa neech vyakti suddha talve chaatanare neech astil visheshan lavun akkal naslyach jaher kartat lachar lok,1
ramazan chya mahinyat muslim samaj evadha hinsak hotoy sambhajinagarat kartavya bajavanyarya teen police bandhavana zakhmi dgadfek kartat samajkantak,1
ramzanchya mahinyaat muslim samaaj evdha hinsak hotoy sambhajinagaraat kartavya bajavnaarya teen polis bandhavna jakhmi dagadfek kartaat samajkanktak,1
hijadya tujhya number khup aavadto,1
tich mulgi ghanerade reels banvaychi,1
aizvadya tujhya aicha daana tujhya aagari mhatre naav tujhya baapane ghatyanchyat thevlay aighalya konachi avlaad vicharun ghari chutmaariychya,1
kamlichya daarat kutra mhanun aukaat bhadhkhau kutra mhanun prasiddh aslelya shelaradyani aadhi swatachi layaki tapasavi,1
krushipradhan deshat maharashtraacha punjabcha shetkari vegla kontya pustakat vachale yedzvya shetkaryancha vijay sampurna deshacha vijay chapti maarun gulanya kelyavar vaatnar,1
bhikarchot bhadve aurangjebachya avlaadina uravar ghya mhanava chhatrapatichya putalyachi vitambana karta,1
पार्टी चे नालायक चाटू कार्यकर्ते आहेत ते,1
aighalyane gand vikli vikun paise raddi jhale paise gand yeda jhala zavadya,1
zara aukaatit rahun bolat dolyatla shen kadun dhun zara naalayaka,1
anokhya paddhatine saajra karnyachya nimittane shaalanna aamantrit jyamadhye vidyarthyanni sant tukaram nagar metro sthanak pratyaksha metro gadicha anubhav ghetla,1
khalistani bhadvyapeksha pakistani bare pakistani shatru,1
purna samjanar nahi tarapn hyanchyat himmat aaplya dharmavar chitrapat banvnyachi lokahi tyaanna sath detaat bhikarchot bollywoodwale kasle milmilit bhangar chitrapat banvtaat,1
haraam khor neech lokanchi satta aslelya rajyat fakt lock nirbandh yanchyashivay dusre asnar,1
tochi bhakt jaanava andh bhakt olakhnayachya sopya paddati,1
nakkich betal vaatnara vaktavya samaajat chalu aslelya chukichya bedhund bedarkar majoardya kharya asnarya vastusthitimule chidun ragavun baher padla,1
bhenchod bhagunya muddyanvar ghal tuzhi,1
dushman dushman dost aplech chutya,1
satya itka peshve harle padale auladila pachayla jhad jaat karnar,1
aizvadya number block maza gandit bol dakhvto tula bhenchod,1
facebook puchi milavun dili,1
jhatbhar phatlayavar manus tuzhyasarkha disto,1
bhenchod komtyani railwayche paise yavarshiche shatt railway yet lavkar,1
hijadya dukarachya potachi paidas,1
bhenchod paus garth pavsalyaat nasto nisargachya vatthol vattya tyapeksha speedne lavkar lavkar apurn ichcha purn karun ghya pottyo,1
tyaanna disat nahi jaativaad sampalaay bindok tajn lokanch,1
kfc valyani vinakaran ghalun ghetli,1
dhanta nawab malik kutra vicharta evdhe purave courtat jaat nahi lokanna chutiya banvayche divas sampale aslya batmya fakt sarkhya huzryanna khush karnyasathi astat,1
binkami lok ardhavat ravachi chatayla gelet,1
viman nagar ajibat swachh nahi roz roz naveen atikraman footpath chalayla jaga nahi,1
valyache karanar tumchi sattechi masti yetya nivadnukit nighel,1
madarchod darut ganja takun sodun,1
tumchya baapache dev karun tumhi jaativaad asprushyata kart benchod manusala manus samja,1
sarkhya khotaradya manasakadun kaslya apeksha thevta khatara ac buses gheun bestch nuksan suddha paise khaun chotya buses gheun bestch nuksanch velvar pagar karta yet nahi karaycha dekhil nahi mhanunach bestch vilinikaran nahi,1
modi sarkaracha navane video viral lokanna topya lava,1
dnyaneshwar pomane chat amchi bullya barobar senchi chat kutrya tuzya ghode lavu,1
sodlelya manasanna modibhakt mhnatat zombibhakthi mhnuch shakto,1
corona virus mhnala alphabetic order mansa marnar tuzh majh aakhha gaav zhavnayamhnat,1
zhatugiri karsheel pratyek gosht gandit tuzhyakade,1
tuzhi mayla vichar konachi avlad bhadhkhau bhenchod,1
zhavadya reply,1
zhavadya badalna tyabadal bol hijadya,1
por chutya baap chutya,1
islam islami karan mool kapnare bjpch fakt musalman navhe virodhkanna tumchya bhamaṭya sahebach sunta karun aaplya baayka burkhyat firvayla vel lagnaar nahi brigedi aahetach islam bahujan samatecha dharm sangayla,1
bahinichi seal puchi,1
yz pratyek gostit dharm shodhat astat dokyat shen bharlela,1
zhavayla detes,1
puchi layi khaj,1
tuzhya kautuk nako sangu mahitey tuzya gaav zhavadi rahulya baap sikha,1
peshvechya avladi gai bolayla ghabarat baila baap bolayla ghabartat,1
madarchod lavdya lasun aighalya,1
murkh kuthla chhatrapati shivaji maharajanchya dolyadekhat apman swatal vanshaj mhanvanara mantripadasathi apman sahan karnaryala mhanav chhatrapati shivaji maharaj balasaheb prashna vicharnya peksha maharajanchya apman mhanun rajinama aadhi murkh kuthla,1
lok astat vaparlele hand gloves parat nit karun viknyachya tayarit manuski kharach itki neech pravrutti fakt paishansathi,1
bjpala burkha bibikade shikvani lavli pahije victim card khelne moral victory sajri karaychi tichyasarkhya kadunch shikle pahije nahitar aakhkhi rajyasabha seat jail moral victory sajri karaychi rahunch jail,1
nakki chatya mathya champya tikekar barobar sangtil,1
bjp modinchi chatugiri karnyat ibn valyanchya kuni dharu shakat nahi,1
punha yein band vatate mich mukhyamantri,1
kalavantala jatdharm asto bhenchod saglikade dharm asto nasto fakt dahshatvadala,1
pratyek boyfriend manat ekach gosht chalu girlfriend bestfriend saglyat motha madarchod manus hyala ekdha kara bharat sarkar,1
cpim lal makad mhnatay bagha aaplya sarkar chya bazune bolne sodach cheen baddal nishedacha shabd nahi,1
maze aajoba sangh madhye mama maza yevdhan sanghala padun bolat nasal maza evadhi nalayak sangh tavalikadht nasal mafiveerandhbhakt hech manufacturing default,1
haramkhor chutiya raut ughda dole chata nit abp maza,1
gadhvala gulachi chav gulamanna pappu shivay chavach chalaychch,1
ithe yedzhav dev karo tuzya gharat nashedi hovo,1
tuzhya ghari mahila bahin nahi chapari,1
udvun,1
chotu nahi beduk bola tich aukat suddha sampleli,1
hijadya nawab malik shet vakdi,1
sanyukt maharashtra sathi ladhlele hazaro lok balidan dilele hutatma bhadhkhau apman kartoy,1
obc netyanno samajanno tumche rajkiy aarakshan kadle tumhi dharmik gulamgiri mule gandit sheput ghalun baslat tumcha pravarticha jahir nishedh karto,1
ag meera out jhalis meera nahi mich third umpire mich batting karnaar yedzhavya sarkhe niyam,1
lachar maharashtra varshe lokshahit nebhalt netrutvaavar vishwas thevla jato maharashtraat maharashtra varshe lokshahit sarvat yashasvi mukhyamantri devendra fadnavis bakiche sagle bahulya banun meherbanine,1
vachun raja shivchhatrapati vachla lafdi ch vatnar pratyek olit lingpisat lokanna harami bidigrady,1
bhadhkhau jahir nishedh,1
zhavayla,1
patil fakt modinchi chatil,1
evdhe bindok mantri aayushyat pahile navhte,1
secular bjp netyanna pramanat chavla nasel sodun faltu bashkal badbad band kara,1
chukicha afwa pasravnara video takun swatach mumbai police mukhyamantri karyalay gruhamantri virodhipaksha netyanna apeksha peksha chom merkhed saheb,1
tuzhya malakala bolayla sang godse chatya laal chatya hijada,1
lok hyanchya kshetrat khup bakichy vishyan babat yanch gyan makda sarkh ignore karaych,1
hech parat march gandit shirun deu naka,1
kranti ticha krantikari nagde karun hanle pahije bhar chowkat,1
swata vegale khuni khandanikhor police adhikaryala bhar vidhansabhet pathishi ghalnare gruhamantryana farar tumchi sattech mastii dadpashahi nahi brasht pawar khandanavar karvayi mhanun dadpashahi athvali,1
chutiya ahech favdya penguin roj nashta sonu gu khato tumhi shela vadapav khata hagun taklela,1
vhele shelar mumbai chya mahapaur kishori pednekar badal aksheparh vaktyavya kelaan tevha bjp chya mahila gatarchap bhasha vaprnarya support kart,1
patrakar bhadvegiri karnare nighalet chyutya ingrajancha kalat patrakar janateche prashn sodvayche atacha patrakar thondt deil tyachach khar nighalet,1
gapp chatya,1
nahi ghetlich navhti fatlelya condom parinam,1
zhatya tuzhi purn gaav zhavun vatat kunkunakhali zhopli,1
murkha tula fakt revolver rifle evdhach disal sang varshat sampattit fakt lakh rupyanchi vaadh tuzha malakakade kotichya sampatti kuthun stroth sang thakare pawar natavakade karta korodochi sampatti,1
bhadhkhavu chor brashtachari amchya navryachya jivavar sanrakshnat firto jaga lavkarach dakhavu,1
zhavnya bapala shikvanar zhavayla,1
kashmir prashnavar satat bhadhkhau comment karanara bharat dweshi imran khan pakistan pradhanmantri jhala bharat pakistan sambandhasathi nishchitach hanikarak,1
khas chakram chango sarkhya buddhibrasht lokansathi,1
naughty haramkhor chutiya yanantar char chand lag gaye hijadya samor,1
lachkhor navryachi bayko dusrya lachkhor navryachya baykola adhar aaj taklya dusrya taklyala yogayog,1
mughalanchya avladi sattevar mhanlyavar anki honar aahe⁉️,1
kuthli shala shikalele bara subsidy deun lokanna swast ghayche desh bhikela lavaycha swata sangayche bina subsidycha bhav bhav aajcha bhav fark dakhava bara,1
chaman mughalanche,1
lokmanya tilak,1
kartos ratalya hajarat nokri tihi asuvidhapurn,1
ugach shakhevarcha chaddichhap vinod karu nakos balanbalahich hasu yet nahi,1
adhich tichya pucchi tuzhya aichi pucchi ticha vishay chalu asatana savarkaranna madhye ghetos,1
somayya nashe madhye bolat asava nashecha bahana karit asava nashedi manasachya nahi rahat lakshat,1
tumchyakade kapde dadhya aslya panchat goshti peksha dusar bolayla nahi mhanun chalayla bhikarchot chaludaya lalchatya gulamanno,1
zhavadya masti madarchod,1
amravati nanded malegaon yethil prakravaarun hinduni samjun ghyave aaplya pathimage kontach rajkiya paksh nahi bjp babtit nebhulat shandh congress rashtravadi ch aaplya bajus nahi shivsene rang badlavla aplyach rajyat bahushankhya asun,1
kangana riya batmi lagech channel badlun kami kara bagha zhak marun deshachi gdp shetkaryanchya samasya maratha aarakshan mahatvachya vishayavar batmya dakhvatat,1
bhaktanna mendu kami asto sangital gu nahi chocolate lagech khar samjun khatat farak yevdhach bjp arnab bolala khatil sadh haramkhor naughty sangital vishwas nahi,1
kangana chakram banli nahi tinan sarvana chakram banvalay rashtra badal swatantrya sainikanchya badal rashtrapurushanchya badal bharat deshatil janetela abhimaan nahi mhanun ashi vaktavye karat evdha hounhi sarkar tila mental hospitalmadhe dakhavat nahi,1
hyanche purvaj kapalal marun mhent astil sarvapitricha amavasyaala janmlela disatay khul zhaka marli aamhi sarv pantpradhan jhalo kutha neoun thevalay gharan aamcha,1
satta gelyavar bhavishya pahayachi chaloo watat deven bhau gheun bas shejari,1
bochya vishay badalu nakos sangitalay tondatun sarkar bullaa satya bag nantar mazi kalji,1
tumchya sarkhe kutre maharashtraat nahi,1
sampadak bai thackeray sarkarane takle hila konach doka chalal thophanchi salami,1
chutiya kortat jaun sidh,1
marathi asmita gahan thevli congress ncp kade nako shikavu nakos aamhala tond gapp thev divas ghanerade agralekh lihayache asatil sanyas shivsenik,1
soda dhongi khalistani bhadavyanna shetkari thravanyacha kuthalya nakli shetkaryancha navakhali maharashtraatil dukandarana lutanyach chalu icecream ghetu kurkure ghetu faltu sagla,1
aapan mantri jhalyapasun ekatari shasakiy jaga aaplya khatyamadhi bharli gelya watli pahije aplyala saheb,1
chukich paanchat like yet roj tujhya evdhe like bhetat nasatil,1
addhavyya maharajanchya madhye ghetu rajkaran nahi sathi sarv sarkhech samajla,1
pakka dukkar sarvanchya twitkhali aaaaa karun aasto,1
mitkari svatala pharch motha samto ghamandi number bolto bhashanala muthbhar lok talya vajvitat phar motha nahi,1
abba magta khalistanvadyanna pathimba dyayla alay bagha dalbhadkarankade yavarhi lambachhod uttar aselch by way sanghotyanna javalpasahi phirku denyayevdhe sujnya shetkari bandhav ahetch,1
nashedi sarkar kuthalya kuthalya margane lokanna bhikela lava tyanche jiv ghya,1
hyala pagal dakhkhanat dakhil kara aamchya sushant pagal mhanla tujha khandan pagal madarchod uddhav thackeray chamcha,1
chabkane fodle pahije sattadhari netyanna agdi rajaskat,1
madarchot patil id varun jalphalath tujha bap asach samor ladhlach nahi gandu,1
bjp saglyat neech paksh khar mns fakta bjp sobat yuti karu naye milavle,1
yethe zhak marun lagta ch layki,1
tujha akhha aayushy thackerayavar garl okun shivsenikaan kadun phatke khanyat gelya thoda thamb tula okleli garl tula lavkarach chataavi laganar,1
utkyach bolnar performance chaan manus mhanun khup neech shadyantri kapti,1
exactly corona chor mavia sarkarsathi sankat nave sandhi chori kara coronavirus bhitikhali dabun,1
mast mamichi puchchi zhavli – bhag,1
chatu media waleudya aryan hagla khatilmoot,1
sanghi bhakt lokanchya shivyakhaycham padu naye mhanun congress handle khali yeun laptaat,1
khara tola hanla pahije bhasha hyala tola tola tumchasarkhya sanghotyanna khar tola pahije,1
nahi haardik palputepana virodhak nako mhanun ghaneradya mahavikasagadi ghanerade dhande chalavle rachayita mukhyamantri changle karanare lok nako ulat ghotalej karanare vasulya karanare paise maganare nete have tech mantri,1
ekhadyala motha dakhvanyasathi kahanya rachun prasiddh karayachya mughal sultananchi itihas lekhanachi paddhat sagalya khangreeshi furogami lokanni purepur pudhe chalavli suddha paramparetla,1
upatayachay upat baghu tuzyat,1
raju naav chaman lava ghoda,1
vasadyanahi tuzya manachi ghalmel samzali,1
chaat zhatya,1
shiv sena maharashtra nahi tasech praveen darekar maharashtraatil janta nahi vasuli valya nakli shenkyansobat jayche tumhi java bjp tun rajinama deun,1
nahi utkarsh kontya angle hushar vatto gharat alya pasun ugach faltu giri,1
aighalyas mahar regiment visralas,1
satya maharashtra kalal madarchod sathi maharashtra tun prachar sathi jaanare yejlzhave nete,1
tumhi balasahebanchi mafi maga gaddaranno,1
chatu zhaatu,1
tuzya mitrala kutra bolali hasates️,1
haach kalatondya jachyamule aaj maratha bandhavanam baliadaan dyave lagle morche kadhave lagle jananna jailsmadhe lagla aaj sangharsh karava lagtoy,1
bhisadichya tula phasi lagte madarchod tuzyat balatkaryamadhe farak nahi madarchoddanno baghitli tumchi wat ajun pahatach wat nirbhaya kes madhe salya gadi madhe dum mhan nirbhaya kes madhe phasi mhanun nahi mhanarnar karan gandit dumatch,1
sarvat vait konitari sakali dokyachi zhavun jaane,1
ekandar murkh lokanmulaych jag sampel ekdivsiy lihun theva,1
rataalyacha chaatya aaj doghanmulech sarkarne sampakari karmacharyancha sakaratmak vichar karayla suruvat nahitar sampkade gambhiryaane paahat navhat tuzyasarkhya lalchatyala nahi karalnar thu tuzyaj patrakaritevar bhangaarnach kals pramanik,1
bagha marathi lok gutkachhap hindivalyanchi hujregiri karatat lavaris pora konbdi chor did footyasathi dusryanna barlatat boltat vait,1
zhavayla deti,1
kort karyakal baghta sarv aagadi sarkar lafdyat ch chalala,1
bindok comment karnyapurvi uch nyayalayacha nikal vachalat shevti shenakide bindok bolnar bindok lihinar bindok vagnar,1
kuthalya tondane boltil lok chaple martil,1
chutyas dalal purvipasuncha,1
maze meme svatachya navane khapvun logo taknar,1
zhavanya uddhav bolala sharjeel up madhye lapun basla tithe bjp sarkar tevha tyannich atak karavi phatya gupchup jababasaathi puneyat bolavto tyachyavar atak warrant,1
chhapri karyakarta,1
asalyah quotes gallitale chhapri pottte taktat,1
sattapipasoo bjp sattet yenyaacha swapna pahanya band kara kuthahi tumchi sarkar yenar nahi,1
sakal media chaatugiri nahi patrakar hajam,1
bindok lokho modiji kashiit desh seva karayla gelet,1
rashtriya muslim manch ekdam faltu gosht sanghane suru suravtipasun virodh karto itkech nabhe mohan bhagwat boltat bharatiya muslim deshbhakt faltu statement,1
kareena faltu heroine tula kutra suddha vicharat nahi tula famous karat heroine vatayla havi chhakha miltil,1
bharat mateche rakshan kartana balidan denara suput kate jyakade media baghitla suddha nahi ganjedi lokanna bhikarchot media banvalela hero aryan malik aaj jevachi,1
khangreesi bhaang khaun care fund public charitable trust vidyaman bharatache pradhan mantriyachya adhyakshatekhali rajiv gandhi foundation national herald madhye bel aslelya soniarahul zameen ghotalej wadra inx media ghotalej chidambaram dwara chalavila jato,1
benchore bapachya bapachya paisatun nahiin las pravakta hajam abbu bullah,1
tomya patrak nit vach aayushyat lochatgiri thapebazi kart,1
mardachya avlaadi sattyachya gadi basun pratiprashna karatat,1
zhaatu tumhi mhanta zara bhan sambhalun bola rav ithe maharashtra samoril kityek prashna jvalant asatana handgya patrakarala kangana ranaut chya twit ch padla bikau patrakar,1
chomyano manus navhati dilliit shetkari lokkashahi margane asatana tareche kumpan kuni ghatle shetkari manus navhati chomyano tumhala manasach ghamand chalate matra aaj shetkaryani nusta virodh naitikta athavli ghamandi karo matra shetkaryani virodhhi karaycha nahi,1
varpasun khalparyant sagle bjp nete mahilasathi apmanjanak chavat vatrat tika karatat ekdivas backfootvar jauin nishedh dusryadivashi samarthan karun vikrut chehra dakhavla tumchya chya baikolacha charchaughat shurpanakha bola rakhi sawant bolun dakhva,1
theradya sanghi kuthan kuthan u khat phirishin deshala khadyat takayla tuch jababdar nahi vatat tule,1
aroh jatiyavadi vikrut mansiktechya kiran mane yanchyashi barobari nako,1
tushar bhosale kirit somaiya tumhi teen kutre bjp mokat sodlet tumcha bhunkanyacha pramanikpane,1
tumhi sattet pasun kara karwai gandit,1
asalya bhamatya lokanna evdha hoon fark padat nahi nirlajj jhalet mahashay vella ghadlay bhaktanna buddhi navacha prakaar nasto,1
mungalya bol saral kortpan maharashtra drohi,1
chutya zara up madhye bhayyancha chaatayla samjel zhavadiya bombay mumbai tujhya bapanne keleya,1
haramkhor chutiya bhadwa gandu shabd aapatti janak ashlil aksheparha madhe yet nahi chauthya stambhachi manyata aasel amchya nehamichya boli bhashat shabd vapru shakto,1
adhikar tumche sarkar teva kuthe tujhya tarbujachya khali bandhla kare haramkor,1
jag kuthe pochalo kuthe vichar kara lachar gulamanno nahi bhavishyat dhungnawar chaddi suddha rahaychi nahi kahich theval nahi yanacha sagla vikla,1
bhosadichya maja amartya deshmukh address sidko sambhaji nagar jagdamba febricators dukaan vichar aanun ghalel baki number lagla jyala mashan kadun,1
tujhya sarkhe edbhoke bhechhod maharashtra bjp supporter mhanunach lavade lagtat bapachi patat nahi lavkar zhavanya sarkajam kalat nasel orkut zhatya,1
bhadwegiri mhanav lagel sabhela gardi jamvanya sathi neech vrat bjp vatli pahije,1
gand fatli zhavadiya bapal maraychi dhamki deto anil deshmukh jail madhye tuzhi,1
bai videshi mhanun virodh karun punha mantri bananyasathi lal ghotanyarya kutrach suddha gun gaanarya asankhya khanadani lalghotya chavanni chhap chatyanna modinni dhune avdnar,1
piche chhati chaku jyala chhati paath yatala farak kalena pradhan mantri vhayche,1
nagda basloy zhavayla yetes,1
bhar chaukahat chabkane phodun kadhale pahije hila,1
mhanun tikade rugna sankhya kami murkh lokancha bazar bharato ½ jilhaat parinaam akhha maharashtra bhogto,1
dolye vataraun svatah karatat channelchi batmi baghitli astit neech twit kelele naste chya paliv patrakaranna aaplya deshapesha chaina sarkari media khara vattoy,1
javalpas prashasakiy adhikari karmachari number laachkhau bhadkhau kamchukar beshist rajkaranyancha kutri mhanun jaganare gataritil kide,1
bharatat rahate jithe jaatiyetela prachand gonzaral jaat aarakshanala naav thevli jaatat jaatiyacha dakhavtat bindok kuthle jaatiyata mitva aarakshan hatawa bolanare atihushar lok aamchya deshat,1
blue sangat tumhi kelele twit chutiya banavu shakat nahi lokanna chutiya reporter,1
